,company_permalink,funding_round_type,raised_amount_usd,category_list,status,country_code,English Langauge
150,craftsvilla,venture,34.0,E-Commerce,operating,IND,No
151,craftsvilla,venture,1.5,E-Commerce,operating,IND,No
152,creditmantri,venture,2.5,Financial Services|FinTech|Indians,operating,IND,No
153,crmnext,venture,7.0035,CRM|Software,operating,IND,No
154,cross-roads,venture,1.5,Services,operating,IND,No
155,culture-machine,venture,18.0,Digital Media|Entertainment|Media|Technology,operating,IND,No
156,culture-machine,venture,3.5,Digital Media|Entertainment|Media|Technology,operating,IND,No
157,culturealley,venture,6.5,Browser Extensions|Education|Facebook Applications|Language Learning,operating,IND,No
158,cura-healthcare,venture,6.0,Health and Wellness|Hospitals|Manufacturing|Medical Devices,operating,IND,No
159,cura-healthcare,venture,9.0,Health and Wellness|Hospitals|Manufacturing|Medical Devices,operating,IND,No
160,customerxps-software,venture,4.0,Customer Service|Software|Technology,operating,IND,No
161,cygnus-medicare,venture,9.76,Health and Wellness,operating,IND,No
162,daksh-infosoft,venture,6.0,Advertising|Web Design|Web Development,acquired,IND,No
163,dealsandyou-com,venture,17.0,Curated Web|E-Commerce|Flash Sales|Group Buying|Social Commerce,operating,IND,No
164,dealsandyou-com,venture,1.5,Curated Web|E-Commerce|Flash Sales|Group Buying|Social Commerce,operating,IND,No
165,delhivery,venture,35.0,Logistics|Supply Chain Management,operating,IND,No
166,delhivery,venture,85.0,Logistics|Supply Chain Management,operating,IND,No
167,delhivery,venture,6.0,Logistics|Supply Chain Management,operating,IND,No
168,delhivery,venture,1.5,Logistics|Supply Chain Management,operating,IND,No
169,delyver-com,venture,1.0,Online Shopping,operating,IND,No
170,dentys,venture,4.5,Dental|Health Care|Technology,operating,IND,No
171,desicrew-solutions,venture,1.2,EdTech|Education,operating,IND,No
172,dexetra,venture,1.0,Android|Software,operating,IND,No
173,dhruva,venture,5.0,Games,operating,IND,No
174,digital-music-india,venture,22.6,Music,operating,IND,No
175,dixon-technologies,venture,9.35,Hardware + Software,operating,IND,No
176,dogspot,venture,5.0,Pets,operating,IND,No
177,doormint,venture,3.0,Apps,operating,IND,No
178,droom-technology-private-limited,venture,16.0,Automotive|E-Commerce Platforms|Marketplaces,operating,IND,No
179,easylink,venture,5.4,Web Design|Web Development|Web Hosting,ipo,IND,No
180,ebs-worldwide-services,venture,5.5,Advertising,operating,IND,No
181,ecom-express,venture,16.5,E-Commerce|Logistics,operating,IND,No
182,ecozen-solutions,venture,1.0,Agriculture|Clean Technology|Energy|Social Entrepreneurship,operating,IND,No
183,edabba,venture,0.85,Fashion,operating,IND,No
184,edreams-edusoft,venture,2.0,Software,operating,IND,No
185,edserv-softsystems,venture,0.964,EdTech|Education,closed,IND,No
186,edupristine,venture,1.5,Corporate Training|Education,operating,IND,No
187,egully,venture,0.05,E-Commerce|Online Shopping,operating,IND,No
188,eka-software-solutions,venture,6.0,Analytics|Logistics|Software|Storage|Supply Chain Management|Trading,operating,IND,No
189,eka-software-solutions,venture,10.0,Analytics|Logistics|Software|Storage|Supply Chain Management|Trading,operating,IND,No
190,eko-india-financial-services,venture,5.5,Finance|FinTech,operating,IND,No
191,electronic-payment-and-services,venture,6.0,Hardware + Software,operating,IND,No
192,electronic-payment-and-services,venture,5.0,Hardware + Software,operating,IND,No
193,elitecore-technologies,venture,10.3,Software,acquired,IND,No
194,embibe,venture,4.0,Education|Tutoring,operating,IND,No
195,emergent-ventures-india,venture,10.04,Consulting,operating,IND,No
196,epiance,venture,7.5,Information Technology|Services,operating,IND,No
197,equitas-holdings,venture,16.0,Finance,closed,IND,No
198,esds-software-solution,venture,4.0,Networking|Web Hosting,operating,IND,No
199,etechies-in,venture,2.003257,Technology,operating,IND,No
200,etown-india-services,venture,0.11,Local Businesses,operating,IND,No
201,eventifier,venture,2.0,Curated Web,acquired,IND,No
202,excellence4u,venture,10.0,Consulting,operating,IND,No
203,excelsoft,venture,8.62,EdTech|Education,operating,IND,No
204,eximsoft-trianz,venture,14.0,Software,acquired,IND,No
205,exotel,venture,0.5,Messaging,operating,IND,No
206,experifun,venture,0.075,Education,operating,IND,No
207,explara-com,venture,0.486433,Event Management|Ticketing,operating,IND,No
208,eyantra-industries,venture,7.5,Software,operating,IND,No
209,eye-q,venture,4.5,Health and Wellness,operating,IND,No
